t,scout_x,scout_y,scout_z,mship_x,mship_y,mship_z,sv_x,sv_y,sv_z,mv_x,mv_y,mv_z,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,lat_err_m,range_to_pad_m,aligned,docked,phase
2.7917,0.36982,1.16050,0.50584,0.37126,1.14112,0.08105,-0.51617,0.16281,-0.00831,-0.51351,0.16707,0.54169,0.02006,0.01260,0.42514,0.00089,0.00602,-0.62102,0.023691,0.425236,1,0,DESCENDING
2.8333,0.34819,1.16687,0.50831,0.34980,1.14788,0.10504,-0.51914,0.15266,0.05937,-0.51655,0.15741,0.60937,0.02002,0.01262,0.40080,0.00038,0.00540,-0.61768,0.023664,0.403722,1,0,DESCENDING
2.8750,0.32642,1.17283,0.51345,0.32822,1.15424,0.13178,-0.52255,0.14305,0.12330,-0.51941,0.14770,0.67330,0.01997,0.01262,0.37654,0.00027,0.00496,-0.61393,0.023626,0.382130,1,0,DESCENDING
2.9167,0.30453,1.17839,0.52108,0.30652,1.16019,0.16109,-0.52536,0.13345,0.18308,-0.52209,0.13793,0.73308,0.01990,0.01263,0.35236,-0.00046,0.00512,-0.60978,0.023568,0.360452,1,0,DESCENDING
2.9583,0.28253,1.18352,0.53204,0.28471,1.16573,0.19280,-0.52788,0.12327,0.26309,-0.52458,0.12812,0.78833,0.01981,0.01265,0.32828,-0.00078,0.00533,-0.60526,0.023507,0.339710,1,0,DESCENDING
3.0000,0.26043,1.18824,0.54663,0.26281,1.17087,0.22672,-0.53043,0.11324,0.35021,-0.52689,0.11826,0.83873,0.01972,0.01265,0.30532,-0.00099,0.00501,-0.57564,0.023433,0.320395,1,0,DESCENDING
3.0417,0.23824,1.19254,0.56453,0.24081,1.17559,0.26263,-0.53247,0.10310,0.42954,-0.52902,0.10836,0.88395,0.01962,0.01265,0.28401,-0.00142,0.00488,-0.53374,0.023345,0.302391,1,0,DESCENDING
3.0833,0.21598,1.19640,0.58540,0.21873,1.17990,0.30031,-0.53430,0.09271,0.50097,-0.53095,0.09843,0.92373,0.01952,0.01264,0.26423,-0.00151,0.00467,-0.49419,0.023252,0.285589,1,0,DESCENDING
3.1250,0.19365,1.19983,0.60892,0.19657,1.18379,0.33952,-0.53585,0.08223,0.56440,-0.53271,0.08845,0.95781,0.01942,0.01261,0.24588,-0.00159,0.00425,-0.45684,0.023150,0.269889,1,0,DESCENDING
3.1667,0.17127,1.20285,0.63475,0.17434,1.18727,0.38004,-0.53728,0.07256,0.61978,-0.53427,0.07845,0.98598,0.01932,0.01256,0.22888,-0.00158,0.00378,-0.42158,0.023040,0.255199,1,0,DESCENDING
